APOE_group,Variable,Value
APOE4_3,Not_current_smoking_pct,93.52
APOE4_3,Current_smoking_pct,6.27
APOE4_3,Regular_physical_activity_pct,74.72
APOE4_3,No_physical_activity_pct,24.56
APOE4_3,Healthy_diet_pct,49.43
APOE4_3,Unhealthy_diet_pct,50.49
APOE4_3,Excessive_alcohol_pct,28.86
APOE4_3,Moderate_alcohol_pct,59.98
APOE4_3,Not_current_drinking_pct,11.16
APOE4_3,Sleep_6_8h_pct,44.83
APOE4_3,Sleep_not_6_8h_pct,55.02
APOE2_3,n,4330
APOE2_3,Age_baseline_mean,55.0
APOE2_3,Age_baseline_sd,7.41
APOE2_3,Age_baseline_median,56
APOE2_3,Age_baseline_min,40
APOE2_3,Age_baseline_max,70
APOE2_3,Age_imaging_mean,63.8
APOE2_3,Age_imaging_sd,7.50
APOE2_3,Age_imaging_median,64
APOE2_3,Age_imaging_min,45
APOE2_3,Age_imaging_max,81
APOE2_3,British_pct,92.42
APOE2_3,Other_pct,7.58
APOE2_3,Male_pct,46.93
APOE2_3,Female_pct,53.07
APOE2_3,Dementia_pct,0.05
APOE2_3,Not_dementia_pct,99.95
APOE2_3,Father_AD_pct,8.43
APOE2_3,Mother_AD_pct,15.13
APOE2_3,Sibling_AD_pct,1.18
APOE2_3,Living_with_partner_pct,77.04
APOE2_3,Not_living_with_partner_pct,7.16
APOE2_3,College_degree_pct,45.68
APOE2_3,No_college_degree_pct,47.02
APOE2_3,Townsend_above_pct,40.53
APOE2_3,Townsend_below_pct,59.31
APOE2_3,Not_current_smoking_pct,93.79
APOE2_3,Current_smoking_pct,6.07
APOE2_3,Regular_physical_activity_pct,75.4
APOE2_3,No_physical_activity_pct,24.09
APOE2_3,Healthy_diet_pct,47.64
APOE2_3,Unhealthy_diet_pct,52.31
APOE2_3,Excessive_alcohol_pct,28.75
APOE2_3,Moderate_alcohol_pct,60.28
APOE2_3,Not_current_drinking_pct,10.95
APOE2_3,Sleep_6_8h_pct,41.8
APOE2_3,Sleep_not_6_8h_pct,57.9
APOE4_2,n,833
APOE4_2,Age_baseline_mean,54.8
APOE4_2,Age_baseline_sd,7.55
APOE4_2,Age_baseline_median,55
APOE4_2,Age_baseline_min,40
APOE4_2,Age_baseline_max,70
APOE4_2,Age_imaging_mean,63.7
APOE4_2,Age_imaging_sd,7.63
APOE4_2,Age_imaging_median,64
APOE4_2,Age_imaging_min,47
APOE4_2,Age_imaging_max,80
APOE4_2,British_pct,94.72
APOE4_2,Other_pct,5.28
APOE4_2,Male_pct,44.9
APOE4_2,Female_pct,55.1
APOE4_2,Dementia_pct,0
APOE4_2,Not_dementia_pct,100
APOE4_2,Father_AD_pct,12.36
APOE4_2,Mother_AD_pct,22.69
APOE4_2,Sibling_AD_pct,2.4
APOE4_2,Living_with_partner_pct,74.91
APOE4_2,Not_living_with_partner_pct,8.88
APOE4_2,College_degree_pct,47.78
APOE4_2,No_college_degree_pct,44.9
APOE4_2,Townsend_above_pct,40.1
APOE4_2,Townsend_below_pct,59.9
APOE4_2,Not_current_smoking_pct,94.12
APOE4_2,Current_smoking_pct,5.64
APOE4_2,Regular_physical_activity_pct,72.39
APOE4_2,No_physical_activity_pct,26.89
APOE4_2,Healthy_diet_pct,47.78
APOE4_2,Unhealthy_diet_pct,52.22
APOE4_2,Excessive_alcohol_pct,25.93
APOE4_2,Moderate_alcohol_pct,63.51
APOE4_2,Not_current_drinking_pct,10.56
APOE4_2,Sleep_6_8h_pct,45.62
APOE4_2,Sleep_not_6_8h_pct,54.14
Total,n,35035
Total,Age_baseline_mean,54.8
Total,Age_baseline_sd,7.44
Total,Age_baseline_median,55
Total,Age_baseline_min,40
Total,Age_baseline_max,70
Total,Age_imaging_mean,63.6
Total,Age_imaging_sd,7.53
Total,Age_imaging_median,64
Total,Age_imaging_min,45
Total,Age_imaging_max,81
Total,British_pct,92.25
Total,Other_pct,7.75
Total,Male_pct,47.14
Total,Female_pct,52.86
Total,Dementia_pct,0.02
Total,Not_dementia_pct,99.98
Total,Father_AD_pct,9.71
Total,Mother_AD_pct,17.91
Total,Sibling_AD_pct,1.57
Total,Living_with_partner_pct,77.35
Total,Not_living_with_partner_pct,7.46
Total,College_degree_pct,46.37
Total,No_college_degree_pct,46.66
Total,Townsend_above_pct,41.82
Total,Townsend_below_pct,58.09
Total,Not_current_smoking_pct,93.63
Total,Current_smoking_pct,6.17
Total,Regular_physical_activity_pct,75
Total,No_physical_activity_pct,24.37
Total,Healthy_diet_pct,48.84
Total,Unhealthy_diet_pct,51.11
Total,Excessive_alcohol_pct,28.29
Total,Moderate_alcohol_pct,60.74
Total,Not_current_drinking_pct,10.93
Total,Sleep_6_8h_pct,43.62
Total,Sleep_not_6_8h_pct,56.16
